SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
380,9/15/73,Providence Civic Center,Providence,RI,US,"Beat It On Down The Line, Sugaree, Greatest Story Ever Told, Brown Eyed Women, Me And My Uncle, Ramble On Rose, Looks Like Rain, Deal, Jack Straw, Tennessee Jed, El Paso, Bird Song, Playing In The Band","Mississippi Half Step Uptown Toodeloo, Big River, Row Jimmy, Truckin, Drums, Eyes Of The World, Let Me Sing Your Blues Away, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Stella Blue, Sugar Magnolia",No Set 3,One More Saturday Night,1
381,9/17/73,Onondaga County War Memorial,Syracuse,NY,US,"Tennessee Jed, Me And My Uncle, They Love Each Other, Beat It On Down The Line, Sugaree, Mexicali Blues, Loser, Looks Like Rain, Row Jimmy, Jack Straw, Loose Lucy, You Aint Woman Enough, Casey Jones","Mississippi Half Step Uptown Toodeloo, Let Me Sing Your Blues Away, Truckin, Eyes Of The World, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Stella Blue",No Set 3,Sugar Magnolia,1
382,9/20/73,The Spectrum,Philadelphia,PA,US,"The Promised Land, Tennessee Jed, Mexicali Blues, They Love Each Other, Looks Like Rain, Loser, Beat It On Down The Line, China Cat Sunflower, I Know You Rider, El Paso, Row Jimmy, Greatest Story Ever Told, Deal, Around And Around","Truckin, Eyes Of The World, Stella Blue",No Set 3,No Encore,1
383,9/21/73,The Spectrum,Philadelphia,PA,US,"Big Railroad Blues, Me And My Uncle, Brown Eyed Women, Beat It On Down The Line, Sugaree, Big River, Here Comes Sunshine, El Paso, Loose Lucy, Jack Straw, Black Peter, Playing In The Band","Let Me Sing Your Blues Away, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Hes Gone, Truckin, The Other One, Wharf Rat, Row Jimmy, Casey Jones",No Set 3,One More Saturday Night,1
384,9/24/73,Pittsburgh Civic Arena,Pittsburgh,PA,US,"The Promised Land, Sugaree, Jack Straw, They Love Each Other, Mexicali Blues, Loose Lucy, Looks Like Rain, Row Jimmy, Big River, China Cat Sunflower, I Know You Rider, Around And Around","Ramble On Rose, El Paso, Mississippi Half Step Uptown Toodeloo, Greatest Story Ever Told, China Doll, Truckin, Nobodys Fault But Mine, Eyes Of The World, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Sugar Magnolia",No Set 3,No Encore,1
385,9/26/73,War Memorial Auditorium,Buffalo,NY,US,"Here Comes Sunshine, Beat It On Down The Line, Deal, Looks Like Rain, Tennessee Jed, Mexicali Blues, Loser, Big River, Brown Eyed Women, The Race Is On, Row Jimmy, El Paso, China Cat Sunflower, I Know You Rider, Around And Around","Playing In The Band, Sing Me Back Home, Me And My Uncle, Hes Gone, Truckin, Eyes Of The World, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Sugar Magnolia",No Set 3,One More Saturday Night,1
386,10/19/73,Oklahoma City Fairgrounds Arena,Oklahoma City,OK,US,"Mexicali Blues, Tennessee Jed, Looks Like Rain, Dont Ease Me In, Jack Straw, They Love Each Other, El Paso, Row Jimmy, Playing In The Band","China Cat Sunflower, I Know You Rider, Me And My Uncle, Mississippi Half Step Uptown Toodeloo, Big River, Dark Star, Mind Left Body Jam, Morning Dew, Sugar Magnolia","Eyes Of The World, Stella Blue",Johnny B. Goode,1
387,10/21/73,Omaha Civic Auditorium,Omaha,NE,US,"Here Comes Sunshine, Beat It On Down The Line, Loser, Black Throated Wind, They Love Each Other, Cumberland Blues, El Paso, You Aint Woman Enough, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow","Playing In The Band, Mississippi Half Step Uptown Toodeloo, Big River, Playing In The Band, Hes Gone, Truckin, Wharf Rat, Sugar Magnolia, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,No Encore,1
388,10/23/73,Metropolitan Sports Center,Bloomington,MN,US,"The Promised Land, Sugaree, Mexicali Blues, They Love Each Other, Me And Bobby Mcgee, Deal, Black Throated Wind, Brown Eyed Women, Beat It On Down The Line, Brokedown Palace, Jack Straw, China Cat Sunflower, I Know You Rider, Around And Around","Mississippi Half Step Uptown Toodeloo, Big River, Row Jimmy, Me And My Uncle, Ramble On Rose, El Paso, Loose Lucy, Truckin, The Other One, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Sugar Magnolia",No Set 3,Casey Jones,1
389,10/25/73,Dane County Coliseum,Madison,WI,US,"Here Comes Sunshine, Black Throated Wind, Mexicali Blues, Tennessee Jed, Looks Like Rain, Deal, El Paso, Playing In The Band","China Cat Sunflower, I Know You Rider, Me And My Uncle, Dark Star, Mind Left Body Jam, Dark Star, Eyes Of The World, Stella Blue, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,Uncle Johns Band,1
390,10/27/73,State Fair Coliseum,Indianapolis,IN,US,"The Promised Land, Sugaree, Mexicali Blues, Loser, Black Throated Wind, They Love Each Other, Jack Straw, Ramble On Rose, El Paso, Brown Eyed Women, Greatest Story Ever Told, Loose Lucy, Beat It On Down The Line, China Cat Sunflower, I Know You Rider","Me And My Uncle, Bertha, Me And Bobby Mcgee, Tennessee Jed, Playing In The Band, Mississippi Half Step Uptown Toodeloo, Big River, Playing In The Band, Hes Gone, Truckin, Nobodys Fault But Mine Jam, Wharf Rat, Stella Blue, Sugar Magnolia",No Set 3,Uncle Johns Band,1
391,10/29/73,Kiel Auditorium,St. Louis,MO,US,"Cold Rain And Snow, Beat It On Down The Line, Brown Eyed Women, Mexicali Blues, Dont Ease Me In, Black Throated Wind, Tennessee Jed, The Race Is On, Row Jimmy, El Paso, Eyes Of The World, China Doll, Around And Around","The Promised Land, Bertha, Greatest Story Ever Told, Loser, Big River, Brokedown Palace, Truckin, The Other One, Wharf Rat, Sugar Magnolia",No Set 3,Casey Jones,1
392,10/30/73,Kiel Auditorium,St. Louis,MO,US,"Here Comes Sunshine, Me And My Uncle, Ramble On Rose, Looks Like Rain, Deal, Mexicali Blues, They Love Each Other, El Paso, Row Jimmy, Jack Straw, China Cat Sunflower, I Know You Rider, Playing In The Band","Mississippi Half Step Uptown Toodeloo, Big River, Dark Star, Stella Blue, Eyes Of The World, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Goin Down The Road Feeling Bad, Johnny B. Goode",No Set 3,One More Saturday Night,1
393,11/1/73,McGaw Memorial Hall,Evanston,IL,US,"Truckin, Here Comes Sunshine, Playing In The Band, Uncle Johns Band, Morning Dew, Uncle Johns Band, Playing In The Band, Sugar Magnolia",No Set 2,No Set 3,No Encore,1
394,11/9/73,Winterland Arena,San Francisco,CA,US,"The Promised Land, Here Comes Sunshine, They Love Each Other, Me And My Uncle, Dont Ease Me In, China Cat Sunflower, I Know You Rider, Playing In The Band","To Lay Me Down, Big River, Mississippi Half Step Uptown Toodeloo, Greatest Story Ever Told, Bertha, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Eyes Of The World, China Doll, Around And Around, Goin Down The Road Feeling Bad, Johnny B. Goode",No Set 3,Uncle Johns Band,1
395,11/10/73,Winterland Arena,San Francisco,CA,US,"Bertha, Jack Straw, Loser, Looks Like Rain, Deal, Mexicali Blues, Tennessee Jed, El Paso, Brokedown Palace, Beat It On Down The Line, Row Jimmy, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow","Playing In The Band, Uncle Johns Band, Morning Dew, Uncle Johns Band, Playing In The Band, Big River, Stella Blue, Truckin, Wharf Rat, Sugar Magnolia",One More Saturday Night,Casey Jones,1
396,11/11/73,Winterland Arena,San Francisco,CA,US,"The Promised Land, Bertha, Greatest Story Ever Told, Sugaree, Black Throated Wind, To Lay Me Down, El Paso, Ramble On Rose, Me And Bobby Mcgee, China Cat Sunflower, I Know You Rider, Me And My Uncle, Loose Lucy, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow","Mississippi Half Step Uptown Toodeloo, Big River, Dark Star, Mind Left Body Jam, Eyes Of The World, China Doll, Sugar Magnolia",Uncle Johns Band,"Johnny B. Goode, And We Bid You Good Night",1
397,11/14/73,San Diego Sports Arena,San Diego,CA,US,"Big Railroad Blues, Jack Straw, Sugaree, Mexicali Blues, Here Comes Sunshine, Black Throated Wind, Cumberland Blues, Row Jimmy, The Race Is On, Brown Eyed Women, Beat It On Down The Line, Tennessee Jed, El Paso, China Cat Sunflower, I Know You Rider, Around And Around","Truckin, The Other One, Big River, The Other One, Eyes Of The World, The Other One, Wharf Rat, Me And My Uncle, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,No Encore,1
398,11/17/73,Pauley Pavilion,Los Angeles,CA,US,"Me And My Uncle, Here Comes Sunshine, Looks Like Rain, Deal, Mexicali Blues, Tennessee Jed, The Race Is On, China Cat Sunflower, I Know You Rider, Big River, Brown Eyed Women, Around And Around","Row Jimmy, Jack Straw, Ramble On Rose, Playing In The Band, Uncle Johns Band, Morning Dew, Uncle Johns Band, Playing In The Band, Stella Blue, El Paso, Eyes Of The World, Sugar Magnolia",No Set 3,Casey Jones,1
399,11/20/73,Denver Coliseum,Denver,CO,US,"Ramble On Rose, Dont Ease Me In, Black Throated Wind, To Lay Me Down, The Race Is On, They Love Each Other, Me And Bobby Mcgee, Tennessee Jed, Big River, Row Jimmy, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Casey Jones","Mississippi Half Step Uptown Toodeloo, The Promised Land, Bertha, Greatest Story Ever Told, Dire Wolf, Looks Like Rain, China Cat Sunflower, I Know You Rider, Truckin, The Other One, Stella Blue, Sugar Magnolia",No Set 3,No Encore,1
400,11/21/73,Denver Coliseum,Denver,CO,US,"Me And My Uncle, Sugaree, Jack Straw, Big Railroad Blues, Mexicali Blues, They Love Each Other, Looks Like Rain, Here Comes Sunshine, Big River, Brokedown Palace, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow","Mississippi Half Step Uptown Toodeloo, Playing In The Band, El Paso, Playing In The Band, Wharf Rat, Playing In The Band, Morning Dew, Truckin, Nobodys Fault But Mine, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,Uncle Johns Band,1
401,11/23/73,County Coliseum,El Paso,TX,US,"Bertha, Mexicali Blues, Deal, Looks Like Rain, Dont Ease Me In, The Race Is On, Loser, Jack Straw, China Cat Sunflower> , I Know You Rider, El Paso, Tennessee Jed, Big River, Row Jimmy, Weather Report Suite Prelude> , Weather Report Suite Part 1> , Let It Grow","Greatest Story Ever Told, Sugaree, Me And My Uncle, Hes Gone> , Truckin> , The Other One> , Me And My Uncle, Eyes Of The World, Around And Around> , Goin Down The Road Feeling Bad> , Casey Jones",No Set 3,Johnny B. Goode,1
402,11/25/73,Feyline Field,Tempe,AZ,US,"The Promised Land, Sugaree, Beat It On Down The Line, Dont Ease Me In, Black Throated Wind, Tennessee Jed, Mexicali Blues, China Cat Sunflower, I Know You Rider, Big River, Row Jimmy, Me And My Uncle, Brown Eyed Women, Playing In The Band","Eyes Of The World, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Casey Jones, Sugar Magnolia, Goin Down The Road Feeling Bad, One More Saturday Night",No Set 3,And We Bid You Good Night,1
403,11/30/73,Boston Music Hall,Boston,MA,US,"Morning Dew, Mexicali Blues, Dire Wolf, Beat It On Down The Line, Brown Eyed Women, Black Throated Wind, Dont Ease Me In, El Paso, They Love Each Other, Big River, Loser, Playing In The Band","Bertha, The Promised Land, Row Jimmy, Jack Straw, Here Comes Sunshine, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Dark Star, Eyes Of The World, Sugar Magnolia",No Set 3,No Encore,1
404,12/1/73,Boston Music Hall,Boston,MA,US,"The Promised Land, Sugaree, Mexicali Blues, Tennessee Jed, Looks Like Rain, China Cat Sunflower, I Know You Rider, Big River, Brokedown Palace, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Casey Jones","Around And Around, They Love Each Other, Me And My Uncle, Dont Ease Me In, Me And Bobby Mcgee, Mississippi Half Step Uptown Toodeloo, Playing In The Band, Uncle Johns Band, Playing In The Band, Row Jimmy, Greatest Story Ever Told, Not Fade Away, Goin Down The Road Feeling Bad, Not Fade Away",No Set 3,No Encore,1
405,12/2/73,Boston Music Hall,Boston,MA,US,"Cold Rain And Snow, Beat It On Down The Line, Dire Wolf, The Race Is On, Brown Eyed Women, Jack Straw, Ramble On Rose, El Paso, Row Jimmy, Big River, Deal, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow","Wharf Rat, Mississippi Half Step Uptown Toodeloo, Playing In The Band, Mind Left Body Jam, Hes Gone, Truckin, Stella Blue, Sugar Magnolia",No Set 3,Morning Dew,1
406,12/4/73,Cincinnati Gardens,Cincinnati,OH,US,"Johnny B. Goode, Sugaree, Me And My Uncle, China Cat Sunflower, I Know You Rider, El Paso, Deal, Big River, Tennessee Jed, Truckin, Stella Blue, Around And Around","Eyes Of The World, Sugar Magnolia, Goin Down The Road Feeling Bad, Casey Jones",No Set 3,One More Saturday Night,1
407,12/6/73,Cleveland Convention Center,Cleveland,OH,US,"Bertha, El Paso, Deal, They Love Each Other, Greatest Story Ever Told, Ramble On Rose, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow","Here Comes Sunshine, Big River, Dark Star, Eyes Of The World, Sugar Magnolia",No Set 3,No Encore,1
408,12/8/73,Cameron Indoor Stadium,Durham,NC,US,"Me And My Uncle, Sugaree, Mexicali Blues, Dire Wolf, Black Throated Wind, They Love Each Other, Me And Bobby Mcgee, Dont Ease Me In, The Race Is On, Brown Eyed Women, Big River, Candyman, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, China Cat Sunflower, I Know You Rider","Around And Around, Ramble On Rose, El Paso, Row Jimmy, Greatest Story Ever Told, Bertha, Hes Gone, Truckin, Nobodys Fault But Mine, The Other One, Wharf Rat, Stella Blue, Johnny B. Goode, Uncle Johns Band",No Set 3,One More Saturday Night,1
409,12/10/73,Charlotte Coliseum,Charlotte,NC,US,"Bertha, Mexicali Blues, Deal, Jack Straw, Tennessee Jed, Big River, Dont Ease Me In, El Paso, Brown Eyed Women, Playing In The Band","The Promised Land, Peggy O, Me And My Uncle, Row Jimmy, Me And Bobby Mcgee, Big Railroad Blues, Truckin> , Nobodys Fault But Mine> , Eyes Of The World> , Brokedown Palace, China Cat Sunflower, I Know You Rider, Sugar Magnolia> , Goin Down The Road Feeling Bad> , Sunshine Daydream",No Set 3,Casey Jones,1
410,12/12/73,The Omni,Atlanta,GA,US,"Dont Ease Me In, Looks Like Rain, They Love Each Other, El Paso, Peggy O, Beat It On Down The Line, Brown Eyed Women, Big River, Deal, Playing In The Band","Mississippi Half Step Uptown Toodeloo, Me And Bobby Mcgee, China Cat Sunflower, I Know You Rider, Greatest Story Ever Told, Row Jimmy, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Wharf Rat, Me And My Uncle, Eyes Of The World, Morning Dew, Sugar Magnolia",No Set 3,Casey Jones,1
411,12/18/73,Curtis Hixon Convention Hall,Tampa,FL,US,"Tennessee Jed, Me And My Uncle, Dont Ease Me In, Looks Like Rain, They Love Each Other, Me And Bobby Mcgee, Brown Eyed Women, Beat It On Down The Line, Peggy O, El Paso, Deal, Jack Straw, China Cat Sunflower, I Know You Rider","The Promised Land, Bertha, Greatest Story Ever Told, Row Jimmy, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Dark Star, Drums, Eyes Of The World, Wharf Rat, Sugar Magnolia",No Set 3,No Encore,1
412,12/19/73,Curtis Hixon Convention Hall,Tampa,FL,US,"The Promised Land, Sugaree, Mexicali Blues, Sugar Shack, Dire Wolf, Black Throated Wind, Candyman, Jack Straw, Big Railroad Blues, Big River, Here Comes Sunshine, El Paso, Ramble On Rose, Playing In The Band","Mississippi Half Step Uptown Toodeloo, Me And Bobby Mcgee, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Hes Gone, Truckin, Nobodys Fault But Mine, Truckin, Stella Blue, Around And Around, Casey Jones",No Set 3,No Encore,1
413,2/22/74,Winterland Arena,San Francisco,CA,US,"U.S. Blues, Beat It On Down The Line, Brown Eyed Women, Mexicali Blues, It Must Have Been The Roses, Black Throated Wind, They Love Each Other, Big River, Loose Lucy, El Paso, Row Jimmy, Playing In The Band","Tennessee Jed, Me And My Uncle, Ship Of Fools, The Race Is On, China Cat Sunflower, I Know You Rider, Truckin, Nobodys Fault But Mine, Goin Down The Road Feeling Bad","Mississippi Half Step Uptown Toodeloo, The Promised Land, Brokedown Palace, Jack Straw, Eyes Of The World, China Doll, Wharf Rat, Sugar Magnolia",Uncle Johns Band,1
414,2/23/74,Winterland Arena,San Francisco,CA,US,"Around And Around, Dire Wolf, Me And Bobby Mcgee, Sugaree, Mexicali Blues, Here Comes Sunshine, Beat It On Down The Line, Ship Of Fools, Jack Straw, Deal, The Promised Land, Bertha, Greatest Story Ever Told","Row Jimmy, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Stella Blue, Big River, Ramble On Rose, Me And My Uncle, Hes Gone, Truckin, Drums, The Other One, Eyes Of The World, One More Saturday Night",No Set 3,"Casey Jones, Johnny B. Goode, And We Bid You Good Night",1
415,2/24/74,Winterland Arena,San Francisco,CA,US,"U.S. Blues, Mexicali Blues, Brown Eyed Women, Beat It On Down The Line, Candyman, Jack Straw, China Cat Sunflower, I Know You Rider, El Paso, Loser, Playing In The Band","Cumberland Blues, It Must Have Been The Roses, Big River, Bertha, Weather Report Suite Prelude, Weather Report Suite Part 1, Let It Grow, Row Jimmy, Ship Of Fools, The Promised Land, Dark Star, Morning Dew, Sugar Magnolia, Not Fade Away, Goin Down The Road Feeling Bad, Not Fade Away",No Set 3,"Its All Over Now, Baby Blue",1
416,3/23/74,Cow Palace,Daly City,CA,US,"U.S. Blues, The Promised Land, Brown Eyed Women, Mexicali Blues, Tennessee Jed, Black Throated Wind, Scarlet Begonias, Beat It On Down The Line, It Must Have Been The Roses, El Paso, Deal, Cassidy, China Cat Sunflower> , I Know You Rider, Weather Report Suite Prelude> , Weather Report Suite Part 1> , Let It Grow","Playing In The Band> , Uncle Johns Band> , Morning Dew> , Uncle Johns Band> , Playing In The Band, Ship Of Fools, Big River, Ramble On Rose, Me And My Uncle, Bertha, Around And Around, Wharf Rat> , Sugar Magnolia, Casey Jones",No Set 3,One More Saturday Night,1
417,5/12/74,University of Nevada,Reno,NV,US,"The Promised Land, Tennessee Jed","China Cat Sunflower, I Know You Rider, El Paso, U.S. Blues, Greatest Story Ever Told, It Must Have Been The Roses, Me And Bobby Mcgee, Deal",No Set 3,"Around And Around, Mississippi Half Step Uptown Toodeloo, Truckin, Nobodys Fault But Mine Jam, The Other One, Mind Left Body Jam, Row Jimmy, Big River, Ship Of Fools, Sugar Magnolia",1
